#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#title
emperor;King;;;;;;;;;;;;x
emperor_female;Queen;;;;;;;;;;;;x
emperor_consort;King Consort;;;;;;;;;;;;x
emperor_consort_female;Queen Consort;;;;;;;;;;;;x
emperor_title_queen_mother_female;Queen Mother;;;;;;;;;;;;x
king;Minor King;;;;;;;;;;;;x
king_title_queen_mother_female;Queen Mother;;;;;;;;;;;;x
king_female;Minor Queen;;;;;;;;;;;;x
##Hylian
emperor_hyrulean;Great King;;;;;;;;;;;;x
emperor_title_ruler_consort_female_darknut;Lati;;;;;;;;;;;;;x
king_darknut:Legatus;;;;;;;;;;;;;;;x
king_female_darknut;Legatus;;;;;;;;;;;;;x
king_title_ruler_consort_darknut:Lati;;;;;;;;;;;;;;;x
king_female_title_ruler_consort_darknut;Lati;;;;;;;;;;;;;x
duke_darknut;Primus Centurion;;;;;;;;;;;;;x
duke_female_darknut;Primus Centurion;;;;;;;;;;;;;x
count_darknut;Centurion;;;;;;;;;;;;;x
count_female_darknut;Centurion;;;;;;;;;;;;;x
baron_darknut;Governer;;;;;;;;;;;;;x
baron_female_darknut;Governess;;;;;;;;;;;;;x
emperor_gerudo;High King;;;;;;;;;;;;x
emperor_female_gerudo;High Queen;;;;;;;;;;;;;x
emperor_title_ruler_consort_gerudo;King Consort;;;;;;;;;;;;x
emperor_title_ruler_consort_female_gerudo;Queen;;;;;;;;;;;;;x
king_gerudo:King;;;;;;;;;;;;;;;x
king_female_gerudo;Queen;;;;;;;;;;;;;x
king_title_ruler_consort_gerudo:King Constort;;;;;;;;;;;;;;;x
king_female_title_ruler_consort_gerudo;Queen;;;;;;;;;;;;x
duke_gerudo;Petty King;;;;;;;;;;;;;x
duke_female_gerudo;Petty Queen;;;;;;;;;;;;;
count_gerudo;Commander;;;;;;;;;;;;;x
count_female_gerudo;Commander;;;;;;;;;;;;;x
baron_gerudo;Captain;;;;;;;;;;;;;x
baron_female_gerudo;Captain;;;;;;;;;;;;;x
king_title_ruler_wizzrobe;Arch-King;;;;;;;;;;;;x
king_title_ruler_female_wizzrobe;Arch-Queen;;;;;;;;;;;;;x
king_title_ruler_consort_wizzrobe;Arch-Consort;;;;;;;;;;;;x
king_title_ruler_consort_female_wizzrobe;Arch-Consort;;;;;;;;;;;;;x
king_wizzrobe:Mage-King;;;;;;;;;;;;;;;x
king_female_wizzrobe;Mage-Queen;;;;;;;;;;;;;x
king_title_ruler_consort_wizzrobe:King Consort;;;;;;;;;;;;;;;x
king_female_title_ruler_consort_wizzrobe;Queen Consort;;;;;;;;;;;;;x
duke_wizzrobe;Journeymen King;;;;;;;;;;;;;x
duke_female_wizzrobe;Journeymen Queen;;;;;;;;;;;;;x
count_wizzrobe;Apprentice King;;;;;;;;;;;;;x
count_female_wizzrobe;Apprentice Queen;;;;;;;;;;;;;x
baron_wizzrobe;Initiate King;;;;;;;;;;;;;x
baron_female_wizzrobe;Initiate Queen;;;;;;;;;;;;;x
##spirit
##Goron
king_great_fairy;Great Patriarch;;;;;;;;;;;;x
king_female_great_fairy;Great Matriarch;;;;;;;;;;;;;x
king_title_ruler_consort_great_fairy;Great Patriarch;;;;;;;;;;;;;x
king_title_ruler_consort_female_great_fairy;Great Matriarch;;;;;;;;;;;;;x
king_title_ruler_consort_great_fairy;Patriarch;;;;;;;;;;;;;x
king_title_ruler_consort_female_great_fairy;Matriarch;;;;;;;;;;;;;x
king_great_fairy:High Chief;;;;;;;;;;;;;;;x
king_female_great_fairy;High Chief;;;;;;;;;;;;;x
duke_great_fairy;Chief;;;;;;;;;;;;;x
duke_female_great_fairy;Chief;;;;;;;;;;;;;x
duke_title_ruler_consort_great_fairy;Consort;;;;;;;;;;;;;x
duke_title_ruler_consort_female_great_fairy;Consort;;;;;;;;;;;;;x
count_great_fairy;Big Brother;;;;;;;;;;;;;x
count_female_great_fairy;Big Sister;;;;;;;;;;;;;x
count_title_ruler_consort_great_fairy;Big Brother;;;;;;;;;;;;;x
cout_title_ruler_consort_female_great_fairy;Big Sister;;;;;;;;;;;;;x
baron_great_fairy;Elder;;;;;;;;;;;;;x
baron_female_great_fairy;Elder;;;;;;;;;;;;;x
##fae
king_great_fairy;Fairy King;;;;;;;;;;;;x
king_female_great_fairy;Fairy Queen;;;;;;;;;;;;;x
king_title_ruler_consort_great_fairy;Fairy King Consort;;;;;;;;;;;;;x
king_title_ruler_consort_female_great_fairy;Fairy Queen Consort;;;;;;;;;;;;;x
king_great_fairy:Fairy Prince;;;;;;;;;;;;;;;x
king_female_great_fairy;Fairy Princess;;;;;;;;;;;;;x
duke_great_fairy;Grand Fairy;;;;;;;;;;;;;x
duke_female_great_fairy;Grand Fairy;;;;;;;;;;;;;x
duke_title_ruler_consort_great_fairy;Grand Fairy;;;;;;;;;;;;;x
duke_title_ruler_consort_female_great_fairy;Grand Fairy;;;;;;;;;;;;;x
count_great_fairy;Fairy Lord;;;;;;;;;;;;;x
count_female_great_fairy;Fairy Lady;;;;;;;;;;;;;x
count_title_ruler_consort_great_fairy;Fairy Lord;;;;;;;;;;;;;x
cout_title_ruler_consort_female_great_fairy;Fairy Lady;;;;;;;;;;;;;x
baron_great_fairy;Great Fairy;;;;;;;;;;;;;x
baron_female_great_fairy;Great Fairy;;;;;;;;;;;;;x
emperor_demon;Demon King;;;;;;;;;;;;x
emperor_female_demon;Demon Queen;;;;;;;;;;;;;x
emperor_title_ruler_consort_demon;Demon King Consort;;;;;;;;;;;;;x
emperor_title_ruler_consort_female_demon;Demon Queen Consort;;;;;;;;;;;;;x
king_demon;Demon Lord;;;;;;;;;;;;;;;x
king_female_demon;Demon Lady;;;;;;;;;;;;;x
duke_demon;Great Demon;;;;;;;;;;;;;x
duke_female_demon;Great Demoness;;;;;;;;;;;;;x
duke_title_ruler_consort_demon;Great Demon;;;;;;;;;;;;;x
duke_title_ruler_consort_female_demon;Great Demoness;;;;;;;;;;;;;x
count_demon;Demon General;;;;;;;;;;;;;x
count_female_demon;Demon General;;;;;;;;;;;;;x
count_title_ruler_consort_demon;Demon Master;;;;;;;;;;;;;x
cout_title_ruler_consort_female_demon;Demon Mistress;;;;;;;;;;;;;x
baron_demon;Great Demon;;;;;;;;;;;;;x
baron_female_demon;Great Demon;;;;;;;;;;;;;x
##plant
king_zuna;Pharaoh;;;;;;;;;;;;x
king_female_zuna;Pharaoh;;;;;;;;;;;;;x
king_title_ruler_consort_zuna;Chief Husband;;;;;;;;;;;;x
king_title_ruler_consort_female_zuna;Chief Wife;;;;;;;;;;;;;x
duke_zuna;Nomarch;;;;;;;;;;;;;x
duke_female_zuna;Nomarch;;;;;;;;;;;;;x
count_zuna;Haty-a;;;;;;;;;;;;;x
count_female_zuna;Haty-a;;;;;;;;;;;;;x
baron_zuna;Nobleman;;;;;;;;;;;;;x
baron_female_zuna;Noblewoman;;;;;;;;;;;;;x
##Alien
king_title_ruler_consort_twili;King Consort;;;;;;;;;;;;;x
king_title_ruler_consort_female_twili;Queen Consort;;;;;;;;;;;;;x
king_twili;Twilight king;;;;;;;;;;;;x
king_female_twili;Twilight Queen;;;;;;;;;;;;;x
king_twili:Twilight King;;;;;;;;;;;;;;;x
king_female_twili;Twilight Princess;;;;;;;;;;;;;x
king_title_ruler_consort_twilight;Prince Consort;;;;;;;;;;;;;x
king_title_ruler_consort_female_twilight;Queen Consort;;;;;;;;;;;;;x
duke_twili;Twilight Duke;;;;;;;;;;;;;x
duke_female_twili;Twilight Duchess;;;;;;;;;;;;;x
count_twili;Twilight Count;;;;;;;;;;;;;x
count_female_twili;Twilight Countess;;;;;;;;;;;;;x
baron_twili;Twilight Lord;;;;;;;;;;;;;x
baron_female_twili;Twilight Lady;;;;;;;;;;;;;x
#land
##default
empire;Kingdom;;;;;;;;;;;;;x
empire_of;Kingdom of;;;;;;;;;;;;;x
kingdom;Minor Kingdom;;;;;;;;;;;;;x
kingdom_of;Minor Kingdom of;;;;;;;;;;;;;x
##culture
###hylian
empire_hyrulean;Great Kingdom;;;;;;;;;;;;;x
empire_of_hyrulean;Great Kingdom;;;;;;;;;;;;;x
kingdom_hyrulean;Kingdom;;;;;;;;;;;;;x
kingdom_of_hyrulean;Kingdom;;;;;;;;;;;;;x
empire_little_hyrulean;Kingdom;;;;;;;;;;;;;x
empire_of_little_hyrulean;Kingdom;;;;;;;;;;;;;x
kingdom_little_hyrulean;Minor Kingdom;;;;;;;;;;;;;x
kingdom_of_little_hyrulean;Minor Kingdom;;;;;;;;;;;;;x
empire_west_hyrulean;Kingdom;;;;;;;;;;;;;x
empire_of_west_hyrulean;Kingdom;;;;;;;;;;;;;x
kingdom_west_hyrulean;Minor Kingdom;;;;;;;;;;;;;x
kingdom_of_west_hyrulean;Minor Kingdom;;;;;;;;;;;;;x
empire_east_hyrulean;Kingdom;;;;;;;;;;;;;x
empire_of_east_hyrulean;Kingdom;;;;;;;;;;;;;x
kingdom_east_hyrulean;Minor Kingdom;;;;;;;;;;;;;x
kingdom_of_east_hyrulean;Minor Kingdom;;;;;;;;;;;;;x
###human
empire_ordonion;High Kingdom;;;;;;;;;;;;;x
empire_of_ordonion;High Kingdom;;;;;;;;;;;;;x
kingdom_ordonion;Kingdom;;;;;;;;;;;;;x
kingdom_of_ordonion;Kingdom;;;;;;;;;;;;;x
empire_horon;High Kingdom;;;;;;;;;;;;;x
empire_of_horon;High Kingdom;;;;;;;;;;;;;x
kingdom_horon;Kingdom;;;;;;;;;;;;;x
kingdom_of_horon;Kingdom;;;;;;;;;;;;;x
###lost
empire_gerudo;High Queendom;;;;;;;;;;;;;x
empire_of_gerudo;High Queendom of;;;;;;;;;;;;;x
kingdom_gerudo;Queendom;;;;;;;;;;;;;x
kingdom_of_gerudo;Queendom;;;;;;;;;;;;;x
duchy_gerudo;Petty Queendom;;;;;;;;;;;;;x
duchy_of_gerudo;Petty Queendom of;;;;;;;;;;;;;x
county_gerudo;Tribe;;;;;;;;;;;;;x
county_of_gerudo;Tribe of;;;;;;;;;;;;;x
empire_darknut;Legions;;;;;;;;;;;;;x
empire_of_darknut;Legions of;;;;;;;;;;;;;x
kingdom_darknut;Legion;;;;;;;;;;;;;x
kingdom_of_darknut;Legion;;;;;;;;;;;;;x
duchy_darknut;Cohort;;;;;;;;;;;;;x
duchy_of_darknut;Cohort of;;;;;;;;;;;;;x
county_darknut;Century;;;;;;;;;;;;;x
county_of_darknut;Century of;;;;;;;;;;;;;x
barony_darknut;Maniple;;;;;;;;;;;;;x
barony_of;_darknutManiple of;;;;;;;;;;;;;x
###plant
empire_zuna;Great Kingdom;;;;;;;;;;;;x
empire_of_zuna;Great Kingdom of;;;;;;;;;;;;x
kingdom_zuna;Kingdom;;;;;;;;;;;;x
kingdom_of_zuna;Kingdom of;;;;;;;;;;;;;x
duke_zuna;Nomarchy;;;;;;;;;;;;;x
duke_of_zuna;Nomarchy of;;;;;;;;;;;;;x
